nesdis_id,nwsli,state_code,latitude_d,longitude_d,owner_code,pe1,pe2,pe3,pe4,pe5,pe6,pe7,pe8,pe9,pe10,pe11,pe12,pe13,pe14,pe15,pe16,pe17,pe18,pe19,pe20,pe21,p322,pe23,pe24,pe25
171A555A,BCIT2,TX,30.5128,-97.6864,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
1650A6F2,BCLT2,TX,30.5856,-97.8814,USGS01,HP,PC,,,,,,,,,,,,,,,,,,,,,,
DE3F90D6,BCMT2,TX,30.1636,-97.9069,USGS01,HG,MS,TS,MS,MS,VB,,,,,,,,,,,,,,,,,,
17CF126A,BCNT2,TX,29.4717,-95.8028,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
DE4D83F8,BCRT2,TX,31.1381,-99.3853,USGS01,HP,,,,,,,,,,,,,,,,,,,,,,,
16F91576,BCST2,TX,30.5397,-97.7517,USGS01,HP,PC,,,,,,,,,,,,,,,,,,,,,,
17D6E32C,BCWT2,TX,30.2631,-97.7125,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
DD711390,BDAT2,TX,29.7236,-99.0697,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
8840570A,BDTT2,TX,30.2625,-98.6289,TXFSRA,PC,US,UD,TA,MT,XR,VB,PA,MM,UR,UP,RW,,,,,,,,,,,,
DD96A7A0,BDWT2,TX,32.25,-96.6469,USGS01,HP,UD,US,PC,,,,,,,,,,,,,,,,,,,,
DD122336,BECT2,TX,30.9031,-96.9789,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
DE07D10A,BEKT2,TX,32.3272,-94.3533,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
DD9AD0AC,BEMT2,TX,29.8808,-96.205,USGS01,PC,HG,,,,,,,,,,,,,,,,,,,,,,
CE7269BE,BENT2,TX,33.6442,-99.8006,CESWT1,PC,HG,TW,WC,,,,,,,,,,,,,,,,,,,,
DDEDC442,BEST2,TX,29.8086,-98.2303,USGS01,PC,HG,HG,PP,,,,,,,,,,,,,,,,,,,,
00926034,BFAT2,TX,26.5569,-99.1681,USIBWC,HG,PC,VB,,,,,,,,,,,,,,,,,,,,,
DE5DD41A,BFFT2,TX,32.275,-99.8358,USGS01,HG,PC,HG,,,,,,,,,,,,,,,,,,,,,
DE5EA584,BFLT2,TX,32.3022,-97.9597,USGS01,HG,HG,,,,,,,,,,,,,,,,,,,,,,
DDED77CC,BFST2,TX,30.0006,-98.2003,USGS01,HG,HG,PC,,,,,,,,,,,,,,,,,,,,,
3292A030,BFXT2,TX,30.63,-98.0819,FWSBID,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,RW,,,,,,,,,,,,,
