,50_rmse,50_cc,50_POD,50_FAR,50_CSI,75_rmse,75_cc,75_POD,75_FAR,75_CSI,95_rmse,95_cc,95_POD,95_FAR,95_CSI
"(72,139)",1.1311332137944436,0.5147024322555072,0.8072289156626506,0.04285714285714286,0.7790697674418605,1.8386387694615318,-0.16591702369019684,0.19047619047619047,0.4666666666666667,0.16326530612244897,1.7177691718634458,0.0623417300363913,0.0,1.0,0.0
"(72,140)",1.0647735483555125,0.5379210874502809,0.7710843373493976,0.07246376811594203,0.7272727272727273,1.7106520992279373,-0.14697016062008303,0.23809523809523808,0.4444444444444444,0.2,1.7699203986637018,-0.01695197213280525,0.0,1.0,0.0
"(72,141)",1.065216458118388,0.5501857899324976,0.7710843373493976,0.07246376811594203,0.7272727272727273,1.6878315884574486,-0.09321061910106326,0.21428571428571427,0.4,0.1875,1.8287372558638264,-0.06077333865406613,0.0,1.0,0.0
"(72,142)",1.4723038349936546,0.32827241425200054,0.8072289156626506,0.11842105263157894,0.7282608695652174,1.65419037523106,0.04787551194423458,0.16666666666666666,0.36363636363636365,0.15217391304347827,1.941099289007078,-0.05635574714233822,0.0,1.0,0.0
"(72,143)",1.568279116723144,0.27708903074039154,0.891566265060241,0.12941176470588237,0.7872340425531915,1.4998571785938484,0.0881886707272124,0.19047619047619047,0.38461538461538464,0.1702127659574468,1.8292081420773825,0.04908400773611245,0.0,1.0,0.0
"(72,144)",1.4047683398703257,0.2943930638479186,0.891566265060241,0.1590909090909091,0.7628865979381443,1.5289964843046238,0.03549618864139551,0.2619047619047619,0.35294117647058826,0.22916666666666666,1.6311397503054077,0.48985750404649797,0.1111111111111111,0.5,0.1
"(72,145)",1.3765260465371745,0.31275403935319046,0.9036144578313253,0.1935483870967742,0.7425742574257426,1.5272599984975634,0.0571490494077089,0.3333333333333333,0.391304347826087,0.27450980392156865,1.9275586510915828,0.6468991552976359,0.1111111111111111,0.5,0.1
"(72,146)",1.4784640232686166,0.22719277267136584,0.9036144578313253,0.1935483870967742,0.7425742574257426,1.4667285820513878,0.12990178724913357,0.2857142857142857,0.42857142857142855,0.23529411764705882,1.9256423556184346,0.7204662282433402,0.1111111111111111,0.6666666666666666,0.09090909090909091
"(72,147)",1.465165363658914,0.2233168963166887,0.9156626506024096,0.1827956989247312,0.76,1.4181777587308915,0.18031367657366126,0.23809523809523808,0.4444444444444444,0.2,2.12020597073271,0.6403306113823475,0.1111111111111111,0.6666666666666666,0.09090909090909091
"(72,148)",1.492973876638419,0.2186832773020337,0.891566265060241,0.12941176470588237,0.7872340425531915,1.4629745149791402,0.17781753399842282,0.2857142857142857,0.4782608695652174,0.22641509433962265,2.0653331535898762,0.28508943196383957,0.1111111111111111,0.75,0.08333333333333333
"(72,149)",1.7746836945276738,0.25025387024384643,0.8674698795180723,0.13253012048192772,0.7659574468085106,2.1091071127149785,0.20964487641707924,0.42857142857142855,0.5384615384615384,0.2857142857142857,3.391657066429262,0.4570562464968334,0.4444444444444444,0.6923076923076923,0.2222222222222222
"(72,150)",2.4689119025469424,0.2623611626202134,0.9036144578313253,0.20212765957446807,0.7352941176470589,3.228652207330182,0.2153173686085117,0.5238095238095238,0.47619047619047616,0.3548387096774194,5.979969638046024,0.785580603479197,0.4444444444444444,0.7333333333333333,0.2
"(72,151)",3.14675033146307,0.2794441237148216,0.9036144578313253,0.1935483870967742,0.7425742574257426,4.15179057482854,0.20523765012561926,0.6428571428571429,0.4489795918367347,0.421875,7.658226253506923,0.8480738771240302,0.4444444444444444,0.8095238095238095,0.15384615384615385
"(72,152)",3.133443467269792,0.27691081228668574,0.891566265060241,0.20430107526881722,0.7254901960784313,4.104228869459842,0.18627147678330486,0.6904761904761905,0.40816326530612246,0.46774193548387094,7.625498097053768,0.7922844373354098,0.5555555555555556,0.7368421052631579,0.21739130434782608
"(72,153)",3.2303508006233796,0.2677112443927159,0.9036144578313253,0.1935483870967742,0.7425742574257426,4.29078378153598,0.08753743993007962,0.6190476190476191,0.43478260869565216,0.41935483870967744,8.098458472795746,0.688566375124352,0.5555555555555556,0.7222222222222222,0.22727272727272727
"(72,154)",3.3963683365832282,0.23504896860248178,0.9036144578313253,0.1935483870967742,0.7425742574257426,4.517354871380797,-0.008740165741254208,0.6190476190476191,0.4222222222222222,0.4262295081967213,7.902015240399979,0.45337302300758403,0.3333333333333333,0.8333333333333334,0.125
